排名,赛区排名,Team ID,团队名,赛区,最高得分,首次得分时间,最高得分时间,成员
17,4,43767,软挑老腊肉,杭厦赛区,4.4721,5.16.2020 14:55,5.16.2020 16:19,"hw_sdlzx (34995), hw44205069 (139929), hw23678343 (36890)"
18,1,43840,难受,武长赛区,5.1518,5.16.2020 15:30,5.16.2020 16:39,"DaLiChuQiJi (68992), dudududududu (36916), hw29198386 (139608)"
19,4,43900,我是一条大锦鲤，大锦鲤！,江山赛区,5.1577,,5.16.2020 16:04,"IZhaoXianfengI (89977), pig1060739683 (34671), hw28463816 (149644)"
20,6,43874,失去魔法，变回鲈鱼,上合赛区,5.221,5.16.2020 15:16,5.16.2020 16:35,"ldeng1997 (137159), hejiyan (139076), betterxys (137188)"
21,5,43905,三三得九,江山赛区,5.5643,,5.16.2020 16:33,"Pyke95 (5403), hy1013 (100928), hw78040398 (101089)"
22,5,43807,小朋友，你是否有很多小号？,成渝赛区,5.8636,,5.16.2020 15:30,"voyager3 (4572), Yumisweet (4583), VivaLaVida13 (4150)"
23,1,43734,ha,京津东北赛区,6.0011,5.16.2020 15:45,5.16.2020 16:10,"jiangzite (34363), ace-pegasus (137048), Herbert_Duan (100920)"
24,2,43732,花样划水,京津东北赛区,6.0395,5.16.2020 15:15,5.16.2020 16:31,"Zino-_-b (139947), hw94871809 (139953), hw30398852 (139966)"
25,7,43875,随便写个名字,上合赛区,6.5258,5.16.2020 15:47,5.16.2020 16:19,"hw02918186 (138261), xkyeys (114766)"
26,6,43911,第五层机器学习方法,江山赛区,6.7695,,5.16.2020 16:04,"linzihao1999 (34274), miziha (66810), hw68932494 (140735)"
27,5,43769,CZ-5,杭厦赛区,7.0718,,5.16.2020 15:47,"nbgao (41895), hw30324143 (138957), iceice1996 (35004)"
